hscode,hscode_desc,val_01,vol_01,val_02,vol_02,val_03,vol_03,val_04,vol_04,val_05,vol_05,val_06,vol_06,val_07,vol_07,val_08,vol_08,val_09,vol_09,val_10,vol_10,val_11,vol_11,val_12,vol_12,value,volume,share_val,share_weight
307603000,"Snails, other than sea snails, dried,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"200,210","45,492",0,0,"200,210","45,492",0.01,0.01
307711000,"Clams, cockles and ark shells, live",0,0,0,0,37,9,0,0,0,0,0,0,0,0,1,1,"2,984",55,"1,817","1,082",803,231,8,2,"5,650","1,380",0,0
307712000,"Clams, cockles and ark shells, fresh or",460,200,0,0,"8,951","4,340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,411","4,540",0,0
307791000,"Clams, cockles and ark shells; frozen",0,0,0,0,0,0,"42,705","28,470",0,0,0,0,0,0,"5,183","12,957",0,0,0,0,0,0,"9,629","24,851","57,517","66,278",0,0.01
307811000,"Abalone (Haliotis spp), live",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,90,490,90,0,0
307891000,"Abalone (Haliotis spp); not live, fresh",0,0,90,36,0,0,0,0,0,0,"5,982",985,0,0,"3,000",300,0,0,0,0,0,0,0,0,"9,072","1,321",0,0
307892000,"Abalone (Haliotis spp); not live, fresh/",0,0,0,0,0,0,0,0,0,0,0,0,105,30,18,5,230,66,0,0,245,70,0,0,598,171,0,0
307911000,"Oth molluscs;incl flours, meals&pellets,","44,991","21,642","25,583","10,702","7,588",732,"9,886",920,"36,240","10,167","36,643","8,518","90,939","22,909","158,272","41,021","87,234","13,638","66,741","16,845","141,136","21,842","84,415","7,144","789,668","176,080",0.03,0.03
307912000,"Oth molluscs;incl flours, meals&pellets,",155,9,153,9,52,2,342,40,972,47,"1,172",36,593,36,502,38,480,41,442,54,420,58,285,36,"5,568",406,0,0
307991000,"Oth molluscs;incl flours, meals&pellets,","52,574","29,100","28,467","9,192","4,120","1,089",0,0,"16,481","3,888","2,520","2,520","26,084","10,152","2,502","5,003","47,657","25,975","17,015","17,196","42,620","54,221","14,190","18,140","254,230","176,476",0.01,0.03
307992000,,"1,480",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"113,596","2,299","151,946","4,234","267,022","6,570",0.01,0
307999000,"Oth molluscs, for human consumption;","2,095","1,103","3,619","1,097","20,506","26,452","110,465",665,"15,468","2,077","8,824",186,"12,981",870,"18,325","1,143","13,813",336,"9,818","1,694","4,356",290,"42,875","67,007","263,145","102,920",0.01,0.01
308112000,"Sea cucumbers (Stichopus japonicus,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,25,0,0,0,0,0,0,720,25,0,0
308191000,"Sea cucumbers (Stichopus japonicus,",0,0,0,0,0,0,"7,875","15,000",0,0,"38,129","4,955",0,0,"26,650","3,500",0,0,0,0,0,0,0,0,"72,654","23,455",0,0
308192000,"Sea cucumbers (Stichopus japonicus,","553,328","105,622","290,615","68,812","680,317","138,132","804,582","181,038","589,231","114,231","624,412","163,199","514,801","118,565","430,910","59,200","785,108","142,016","444,409","80,501","450,890","95,388","503,356","105,644","6,671,959","1,372,348",0.23,0.2
308211000,"Sea urchins (strongylo/paracentrotus,",218,57,666,79,650,71,"1,624",52,208,10,308,20,0,0,245,44,385,134,331,116,530,223,80,12,"5,245",818,0,0
308291000,"Sea urchins, frozen",0,0,0,0,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,0,0
