hscode,hscode_desc,val_01,vol_01,val_02,vol_02,val_03,vol_03,val_04,vol_04,val_05,vol_05,val_06,vol_06,val_07,vol_07,val_08,vol_08,val_09,vol_09,val_10,vol_10,val_11,vol_11,val_12,vol_12
307891000,"Abalone (Haliotis spp); not live, fresh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,14,161,25
307892000,"Abalone (Haliotis spp); not live, fresh/",181,10,629,30,197,10,259,11,"1,138",53,203,11,0,0,453,20,246,10,"1,116",47,196,8,386,18
307991000,"Oth molluscs;incl flours, meals&pellets,",0,0,"2,724",477,0,0,"3,107",618,0,0,0,0,0,0,0,0,"1,952",277,0,0,0,0,245,36
308111000,"Sea cucumbers (Stichopus japonicus,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,5,206,12,271,16
308112000,"Sea cucumbers (Stichopus japonicus,",79,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308192000,"Sea cucumbers (Stichopus japonicus,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,486",154,0,0,0,0,0,0,0,0
308212000,"Sea urchins, fresh or chilled","35,748",216,"30,953",197,"34,480",195,"46,734",257,"39,790",234,"52,199",292,"29,667",111,"49,938",254,"42,573",215,"41,829",175,"42,059",183,"33,092",160
308903000,Oth aquatic invertebrates oth than,0,0,"2,617",510,"2,914",510,0,0,0,0,"2,613",615,0,0,"2,170",510,"2,380",600,0,0,"3,335",600,"2,239",600
,TOTAL,"8,059,034","3,316,079","13,052,294","5,440,710","19,053,910","8,747,657","26,466,361","12,834,478","20,840,142","10,527,654","24,450,582","11,671,579","22,097,660","8,774,111","21,814,208","9,420,256","15,427,938","7,562,970","15,127,505","8,877,839","26,310,767","16,366,643","22,332,862","14,678,340"
,,January Nil/Val (US $),January Brt/Wgt (kg),February Nil/Val (US $),February Brt/Wgt (kg),March Nil/Val (US $),March Brt/Wgt (kg),April Nil/Val (US $),April Brt/Wgt (kg),May Nil/Val (US $),May Brt/Wgt (kg),June Nil/Val (US $),June Brt/Wgt (kg),July Nil/Val (US $),July Brt/Wgt (kg),August Nil/Val (US $),August Brt/Wgt (kg),September Nil/Val (US $),September Brt/Wgt (kg),October Nil/Val (US $),October Brt/Wgt (kg),November Nil/Val (US $),November Brt/Wgt (kg),December Nil/Val (US $),December Brt/Wgt (kg)
,,,,,,,,,,,,,,,,,,,,,,,,,
,Bulan,Nilai (US $),Berat (Kg),,,,,,,,,,,,,,,,,,,,,,
,Januari,8059034,3316079,,,,,,,,,,,,,,,,,,,,,,
,Pebruari,13052294,5440710,,,,,,,,,,,,,,,,,,,,,,
,Maret,19053910,8747657,,,,,,,,,,,,,,,,,,,,,,
,April,26466361,12834478,,,,,,,,,,,,,,,,,,,,,,
,Mei,20840142,10527654,,,,,,,,,,,,,,,,,,,,,,
,Juni,24450582,11671579,,,,,,,,,,,,,,,,,,,,,,
,Juli,22097660,8774111,,,,,,,,,,,,,,,,,,,,,,
,Agustus,21814208,9420256,,,,,,,,,,,,,,,,,,,,,,
,Sepember,15427938,7562970,,,,,,,,,,,,,,,,,,,,,,
,Oktober,15127505,8877839,,,,,,,,,,,,,,,,,,,,,,
,November,26310767,16366643,,,,,,,,,,,,,,,,,,,,,,
,Desember,22332862,14678340,,,,,,,,,,,,,,,,,,,,,,
